标题,租赁方式,户型,面积,朝向,维护,入住,楼层,电梯,车位,用水,用电,燃气,采暖,租期,看房,付款方式,租金(元/月),押金(元),服务费(元),中介费(元),链接
龙山跃,整租,3房间1卫,58.30㎡,南 北,3天前,随时入住,中楼层/24层,有,暂无数据,商水,商电,有,集中供暖,1年以内,需提前预约,季付,3800,3800,0.0,3800,https://bj.zu.ke.com/zufang/BJ1964979223709876224.html
广渠门外大街,合租,3居室,9.93㎡,北,今天,随时入住,13/16层,有,暂无数据,民水,民电,有,集中供暖,1~2年,随时可看,月付,2866,2866,,0,https://bj.zu.ke.com/zufang/BJ1829581007808888832.html
康泉小区,整租,2室1厅1卫,95.00㎡,南 北,10天前,2024-12-31,高楼层/28层,有,暂无数据,暂无数据,暂无数据,有,集中供暖,暂无数据,需提前预约,季付,5600,5600,0.0,5600,https://bj.zu.ke.com/zufang/BJ1964975293378592768.html
田园风光雅苑,合租,4居室,31.00㎡,南,2天前,2024-12-26,5/6层,无,租用车位,民水,民电,有,自采暖,1~2年,需提前预约,月付,3108,3108,,0,https://bj.zu.ke.com/zufang/BJ1829492340880834560.html
香江花园,整租,2室2厅2卫,153.99㎡,东 北,6天前,随时入住,低楼层/3层,有,暂无数据,民水,民电,无,自采暖,暂无数据,需提前预约,季付,19000,19000,0.0,19000,https://bj.zu.ke.com/zufang/BJ1964979354899316736.html
丛林庄别墅,整租,9室3厅3卫,433.78㎡,东 南 西 北,1天前,随时入住,低楼层/2层,无,免费使用,民水,民电,有,集中供暖,3年以内,需提前预约,半年付,29000,29000,0.0,29000,https://bj.zu.ke.com/zufang/BJ1964981165941063680.html
弘善家园,合租,3居室,7.90㎡,北,今天,随时入住,17/28层,有,租用车位,民水,民电,有,自采暖,4~7个月,随时可看,月付,2163,2163,,0,https://bj.zu.ke.com/zufang/BJ1829493143007920128.html
潘家园南里,整租,1室1厅1卫,44.52㎡,南,14天前,随时入住,高楼层/6层,无,租用车位,民水,民电,有,集中供暖,1年以内,需提前预约,季付,4100,4100,0.0,4100,https://bj.zu.ke.com/zufang/BJ1964979591177043968.html
保利东郡,整租,5室2厅4卫,329.71㎡,东 南 北,10天前,随时入住,中楼层/10层,有,暂无数据,民水,民电,有,集中供暖,暂无数据,需提前预约,季付,48000,48000,0.0,48000,https://bj.zu.ke.com/zufang/BJ1964964424494088192.html
云翔嘉苑,整租,1室1厅1卫,45.00㎡,南,1天前,随时入住,低楼层/27层,有,暂无数据,暂无数据,暂无数据,有,集中供暖,1年以内,需提前预约,季付,3100,3100,0.0,3100,https://bj.zu.ke.com/zufang/BJ1964963942233014272.html
汇景苑三区,整租,2室1厅1卫,87.00㎡,南,今天,随时入住,高楼层/29层,有,暂无数据,民水,民电,有,集中供暖,暂无数据,需提前预约,季付,4600,4600,0.0,4600,https://bj.zu.ke.com/zufang/BJ1964960908304187392.html
金地未未来,整租,3房间2卫,42.00㎡,东,2天前,随时入住,中楼层/10层,有,暂无数据,商水,商电,无,集中供暖,1年以内,需提前预约,季付,3000,3000,0.0,3000,https://bj.zu.ke.com/zufang/BJ1964962524352741376.html
钟萃路3号院,整租,1室1厅1卫,60.00㎡,南,1天前,随时入住,中楼层/24层,无,免费使用,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,需提前预约,季付,5400,5400,0.0,5400,https://bj.zu.ke.com/zufang/BJ1964964136106328064.html
五月华庭,整租,2房间1卫,34.79㎡,南,8天前,随时入住,低楼层/12层,有,暂无数据,商水,商电,无,自采暖,暂无数据,需提前预约,季付,3500,3500,0.0,3500,https://bj.zu.ke.com/zufang/BJ1964959986702352384.html
金隅滨和园7号院,整租,2室1厅1卫,75.00㎡,南,15天前,随时入住,中楼层/28层,有,暂无数据,民水,民电,有,集中供暖,1年以内,需提前预约,季付,4300,4300,0.0,4300,https://bj.zu.ke.com/zufang/BJ1964958417210572800.html
澜西园三区,整租,2室1厅1卫,85.04㎡,南 北,4天前,随时入住,中楼层/7层,有,免费使用,民水,民电,有,集中供暖,1年以内,需提前预约,季付,3366,3366,0.0,3366,https://bj.zu.ke.com/zufang/BJ1964965940651098112.html
华贸城,整租,2室1厅2卫,52.27㎡,西南,2天前,2025-01-19,中楼层/16层,有,暂无数据,民水,民电,有,自采暖,2年以内,需提前预约,半年付,7300,7300,0.0,7300,https://bj.zu.ke.com/zufang/BJ1964964982038724608.html
天居园,整租,1室1厅1卫,44.28㎡,东,1天前,随时入住,中楼层/32层,有,暂无数据,民水,民电,有,自采暖,暂无数据,需提前预约,季付,5000,5000,0.0,5000,https://bj.zu.ke.com/zufang/BJ1964967963832352768.html
北京城建海梓府,整租,3室1厅2卫,104.00㎡,南 北,今天,随时入住,中楼层/11层,有,暂无数据,民水,民电,有,集中供暖,暂无数据,需提前预约,需咨询,8000,8000,0.0,8000,https://bj.zu.ke.com/zufang/BJ1964969800081866752.html
海棠湾一期,整租,2室1厅1卫,91.14㎡,东南,今天,随时入住,高楼层/27层,有,租用车位,民水,民电,有,集中供暖,暂无数据,需提前预约,季付,5700,5700,0.0,5700,https://bj.zu.ke.com/zufang/BJ1964988754762399744.html
洛克时代中心,整租,1室1厅0卫,171.15㎡,西,2天前,随时入住,高楼层/14层,有,暂无数据,商水,商电,无,自采暖,3年以内,需提前预约,季付,23100,23100,0.0,23100,https://bj.zu.ke.com/zufang/BJ1829057017977765888.html
玉海园一里,整租,2室1厅1卫,79.10㎡,西南,4天前,随时入住,高楼层/6层,无,暂无数据,民水,民电,有,集中供暖,1年以内,需提前预约,季付,7500,7500,0.0,7500,https://bj.zu.ke.com/zufang/BJ1828723010203287552.html
首府官邸,整租,4室4厅4卫,404.00㎡,东南 南 北,8天前,随时入住,中楼层/9层,有,暂无数据,民水,民电,有,集中供暖,暂无数据,需提前预约,季付,50000,50000,0.0,50000,https://bj.zu.ke.com/zufang/BJ1830445045770092544.html
天通苑东三区,整租,2室1厅1卫,95.00㎡,南 北,3天前,随时入住,高楼层/6层,无,暂无数据,民水,民电,有,集中供暖,暂无数据,需提前预约,季付,5000,5000,0.0,5000,https://bj.zu.ke.com/zufang/BJ1830202008439619584.html
葛村西里,整租,1室1厅1卫,57.70㎡,南,1天前,随时入住,高楼层/3层,无,暂无数据,民水,民电,无,集中供暖,3年以内,需提前预约,季付,3600,3600,0.0,3600,https://bj.zu.ke.com/zufang/BJ1907743974982942720.html
三虎桥南路8号院,整租,2室1厅1卫,58.80㎡,南 北,9天前,随时入住,2/5层,无,暂无数据,民水,民电,有,暂无数据,6~24个月,随时可看,季付,6500,6500,,0,https://bj.zu.ke.com/zufang/BJ1978409313852456960.html
金隅花石匠二期西区,整租,3室2厅2卫,114.26㎡,南 北,13天前,随时入住,高楼层/15层,有,租用车位,民水,民电,有,集中供暖,3年以内,需提前预约,季付,6000,6000,0.0,6000,https://bj.zu.ke.com/zufang/BJ1907738847513411584.html
农光里,整租,1室1厅1卫,52.00㎡,东,1天前,随时入住,高楼层/12层,有,暂无数据,民水,民电,有,集中供暖,暂无数据,需提前预约,季付,4500,4500,0.0,4500,https://bj.zu.ke.com/zufang/BJ1907720103235944448.html
青春路九院,整租,2室1厅1卫,54.00㎡,南 北,8天前,随时入住,中楼层/4层,无,免费使用,民水,民电,有,集中供暖,1年以内,需提前预约,半年付,2000,2000,0.0,2000,https://bj.zu.ke.com/zufang/BJ1907730124854263808.html
康营家园四期C区,合租,3居室,20.00㎡,南,2天前,随时入住,17/21层,无,免费使用,民水,民电,有,集中供暖,3个月以上,随时可看,季付,1850,1850,,0,https://bj.zu.ke.com/zufang/BJ1966745486782103552.html
延静里,整租,2室1厅1卫,54.09㎡,南 北,1天前,随时入住,中楼层/6层,无,暂无数据,民水,民电,有,集中供暖,1年以内,需提前预约,季付,5300,5300,0.0,5300,https://bj.zu.ke.com/zufang/BJ1907677842754240512.html
玉桃园三区,整租,1室1厅1卫,50.30㎡,东 西,6天前,随时入住,低楼层/6层,无,暂无数据,民水,民电,有,集中供暖,3年以内,需提前预约,年付,7000,7000,0.0,7000,https://bj.zu.ke.com/zufang/BJ1907697882153091072.html
首邑上城,整租,2房间1卫,62.02㎡,北,11天前,随时入住,中楼层/15层,有,暂无数据,民水,民电,有,集中供暖,暂无数据,需提前预约,季付,3700,3700,0.0,3700,https://bj.zu.ke.com/zufang/BJ1907704168949219328.html
融泽嘉园东一路8号院,合租,3居室,15.00㎡,南,1天前,2024-12-28,15/28层,有,暂无数据,民水,民电,有,集中供暖,1~2年,需提前预约,月付,3454,3454,,0,https://bj.zu.ke.com/zufang/BJ1978414937478791168.html
绿地启航社,整租,1房间0卫,157.12㎡,北,8天前,随时入住,中楼层/7层,有,暂无数据,商水,商电,有,集中供暖,暂无数据,需提前预约,季付,7500,7500,0.0,7500,https://bj.zu.ke.com/zufang/BJ1907712778039197696.html
三环新城6号院,合租,4居室,16.50㎡,南,今天,随时入住,6/22层,有,租用车位,民水,民电,有,自采暖,1~2年,随时可看,月付,4126,4126,,0,https://bj.zu.ke.com/zufang/BJ1978433847456432128.html
胜古南里,合租,2居室,14.40㎡,南,今天,随时入住,2/5层,无,暂无数据,民水,民电,有,集中供暖,2~4个月,随时可看,月付,4126,4126,,0,https://bj.zu.ke.com/zufang/BJ1978431829752938496.html
定福庄西街,整租,2室1厅1卫,63.24㎡,西,今天,随时入住,14/18层,有,暂无数据,民水,民电,有,集中供暖,1~2年,随时可看,月付,5659,5659,,0,https://bj.zu.ke.com/zufang/BJ1966742765995819008.html
莲花池南里小区,整租,2室1厅1卫,68.00㎡,南,14天前,随时入住,高楼层/16层,有,暂无数据,民水,民电,有,集中供暖,暂无数据,需提前预约,季付,5700,5700,0.0,5700,https://bj.zu.ke.com/zufang/BJ1908140988061188096.html
怡海花园富润园,整租,3室1厅2卫,130.07㎡,南,5天前,随时入住,高楼层/18层,有,暂无数据,民水,民电,有,集中供暖,暂无数据,需提前预约,季付,9400,9400,0.0,9400,https://bj.zu.ke.com/zufang/BJ1908398908527083520.html
大峪南路,整租,3室1厅1卫,61.17㎡,南 西 北,1天前,随时入住,高楼层/6层,无,免费使用,民水,民电,有,集中供暖,暂无数据,需提前预约,季付,2700,2700,0.0,2700,https://bj.zu.ke.com/zufang/BJ1908386585053757440.html
华清嘉园,整租,1室1厅1卫,50.16㎡,西,7天前,随时入住,低楼层/19层,有,暂无数据,民水,民电,有,自采暖,3年以上,需提前预约,季付,7600,7600,0.0,7600,https://bj.zu.ke.com/zufang/BJ1908391034677624832.html
左安漪园,整租,2室1厅2卫,98.98㎡,西南 东北,5天前,随时入住,低楼层/17层,有,暂无数据,民水,民电,有,集中供暖,3年以内,需提前预约,季付,9000,9000,0.0,9000,https://bj.zu.ke.com/zufang/BJ1908382148956520448.html
阳光城溪山悦,整租,3室1厅2卫,140.00㎡,南 北,1天前,随时入住,中楼层/5层,无,暂无数据,民水,民电,有,自采暖,2年以内,需提前预约,季付,3800,3800,0.0,3800,https://bj.zu.ke.com/zufang/BJ1908364502613622784.html
新康家园,合租,4居室,15.90㎡,南,今天,随时入住,4/15层,有,租用车位,民水,民电,有,集中供暖,1~2年,随时可看,月付,2583,2583,,0,https://bj.zu.ke.com/zufang/BJ1966741802706796544.html
住邦2000,整租,2室2厅1卫,107.24㎡,南,5天前,随时入住,低楼层/28层,有,暂无数据,商水,商电,无,集中供暖,1年以内,需提前预约,季付,10970,10970,0.0,10970,https://bj.zu.ke.com/zufang/BJ1908149138055233536.html
远洋沁山水,整租,2室1厅1卫,89.00㎡,东 西,3天前,随时入住,低楼层/21层,有,暂无数据,民水,民电,有,集中供暖,3年以上,需提前预约,季付,9500,9500,0.0,9500,https://bj.zu.ke.com/zufang/BJ1908150165164785664.html
双花园西里,整租,2室1厅1卫,64.97㎡,南 北,5天前,随时入住,中楼层/5层,无,暂无数据,民水,民电,有,集中供暖,暂无数据,需提前预约,季付,6800,6800,0.0,6800,https://bj.zu.ke.com/zufang/BJ1908148624932470784.html
芍药居北里,整租,1室1厅1卫,59.00㎡,北,3天前,2025-01-04,13/24层,有,租用车位,民水,民电,有,集中供暖,1~3年,需提前预约,月付,6573,6573,,0,https://bj.zu.ke.com/zufang/BJ1966750716986916864.html
荔景园新区,整租,1室1厅1卫,69.63㎡,南 北,6天前,随时入住,中楼层/28层,有,暂无数据,民水,民电,有,集中供暖,3年以上,需提前预约,季付,3200,3200,0.0,3200,https://bj.zu.ke.com/zufang/BJ1908187320868143104.html
北京金茂府,整租,2房间1卫,89.00㎡,西,2天前,随时入住,低楼层/12层,有,暂无数据,商水,商电,无,自采暖,暂无数据,需提前预约,季付,9600,9600,0.0,9600,https://bj.zu.ke.com/zufang/BJ1946122853967462400.html
汇鸿家园,整租,2室1厅1卫,84.01㎡,南,今天,随时入住,2/18层,有,租用车位,民水,民电,有,集中供暖,1年,随时可看,月付,6226,6226,,0,https://bj.zu.ke.com/zufang/BJ1791759041047822336.html
天润福熙大道,整租,4室2厅2卫,199.97㎡,南 北,10天前,随时入住,低楼层/27层,有,暂无数据,民水,民电,有,集中供暖,暂无数据,需提前预约,需咨询,25000,25000,0.0,25000,https://bj.zu.ke.com/zufang/BJ1946142539690016768.html
民园小区,整租,2室1厅1卫,77.00㎡,南 北,4天前,随时入住,高楼层/6层,无,暂无数据,民水,民电,有,集中供暖,暂无数据,需提前预约,季付,3100,3100,0.0,3100,https://bj.zu.ke.com/zufang/BJ1946141684786003968.html
朝丰家园6号院,整租,2室1厅1卫,82.00㎡,南 北,1天前,随时入住,中楼层/18层,有,暂无数据,民水,民电,有,自采暖,3年以内,需提前预约,季付,4100,4100,0.0,4100,https://bj.zu.ke.com/zufang/BJ1946139014260064256.html
金台园,整租,3室1厅1卫,73.00㎡,南 北,12天前,随时入住,中楼层/6层,无,暂无数据,民水,民电,有,集中供暖,暂无数据,需提前预约,季付,2000,2000,0.0,2000,https://bj.zu.ke.com/zufang/BJ1946205488425205760.html
劲松八区,整租,1室1厅1卫,42.32㎡,南,今天,随时入住,高楼层/6层,无,暂无数据,民水,民电,有,集中供暖,暂无数据,需提前预约,季付,4200,4200,0.0,4200,https://bj.zu.ke.com/zufang/BJ1946201132162351104.html
建设研究院,整租,2室1厅1卫,58.70㎡,南,2天前,2025-01-18,4/4层,无,暂无数据,民水,民电,有,集中供暖,1年,需提前预约,月付,8116,8116,,0,https://bj.zu.ke.com/zufang/BJ1791314551484973056.html
北京新天地五期,整租,1室1厅1卫,61.04㎡,北,今天,随时入住,2/28层,有,租用车位,民水,民电,有,集中供暖,7~12个月,随时可看,月付,5459,5459,,0,https://bj.zu.ke.com/zufang/BJ1792184640568557568.html
劲松三区,合租,3居室,7.46㎡,北,今天,随时入住,2/5层,无,暂无数据,民水,民电,有,集中供暖,4~7个月,随时可看,月付,2236,2236,,0,https://bj.zu.ke.com/zufang/BJ1792132711524073472.html
南太平庄北巷,合租,3居室,15.10㎡,南,今天,随时入住,6/6层,无,暂无数据,民水,民电,有,集中供暖,1年,随时可看,月付,2583,2583,,0,https://bj.zu.ke.com/zufang/BJ1791925428055703552.html
马家堡西里,整租,1室1厅1卫,58.12㎡,东 西,2天前,随时入住,中楼层/6层,无,暂无数据,民水,民电,有,集中供暖,暂无数据,需提前预约,季付,4800,4800,0.0,4800,https://bj.zu.ke.com/zufang/BJ1946208794375618560.html
虎坊路小区,整租,2室1厅1卫,46.80㎡,南 北,6天前,随时入住,中楼层/4层,无,租用车位,民水,民电,有,集中供暖,2年以内,需提前预约,季付,5500,5500,0.0,5500,https://bj.zu.ke.com/zufang/BJ1946404114103533568.html
南平东里,整租,3室1厅1卫,103.13㎡,南 北,12天前,随时入住,高楼层/6层,无,免费使用,民水,民电,有,集中供暖,1年以内,需提前预约,季付,5300,5300,0.0,5300,https://bj.zu.ke.com/zufang/BJ1946382629439799296.html
永乐东区,整租,2室1厅1卫,46.81㎡,南,3天前,2025-01-11,4/5层,无,暂无数据,民水,民电,有,集中供暖,1~2年,需提前预约,月付,5386,5386,,0,https://bj.zu.ke.com/zufang/BJ1791429402945388544.html
万泉庄小区,整租,1室1厅1卫,38.20㎡,东南,今天,随时入住,1/6层,无,暂无数据,民水,民电,有,集中供暖,1~2年,随时可看,月付,7201,7201,,0,https://bj.zu.ke.com/zufang/BJ1791713739800576000.html
时代龙和大道,整租,2室1厅1卫,104.00㎡,东 南,12天前,随时入住,高楼层/15层,有,租用车位,民水,民电,有,自采暖,3年以内,需提前预约,季付,4600,4600,0.0,4600,https://bj.zu.ke.com/zufang/BJ1946395213572341760.html
车站北里,整租,2室1厅1卫,59.00㎡,南,今天,随时入住,4/6层,无,暂无数据,民水,民电,有,集中供暖,1~2年,随时可看,月付,4714,4714,,0,https://bj.zu.ke.com/zufang/BJ1791691788541493248.html
金隅景和园六区,整租,2室1厅1卫,81.86㎡,东,3天前,随时入住,高楼层/8层,有,暂无数据,民水,民电,有,集中供暖,暂无数据,需提前预约,季付,5000,5000,0.0,5000,https://bj.zu.ke.com/zufang/BJ1946218569540829184.html
北大街北里,整租,2室1厅1卫,64.00㎡,南 北,3天前,随时入住,低楼层/6层,无,暂无数据,民水,民电,有,集中供暖,3年以内,需提前预约,季付,4800,4800,0.0,4800,https://bj.zu.ke.com/zufang/BJ1946408440058347520.html
潘家园东里,合租,3居室,6.30㎡,北,今天,随时入住,10/18层,有,租用车位,民水,民电,有,集中供暖,7~12个月,随时可看,月付,2058,2058,,0,https://bj.zu.ke.com/zufang/BJ1791468143927885824.html
半山枫林香山81号院,整租,4室2厅4卫,337.91㎡,南 北,2天前,随时入住,低楼层/4层,无,暂无数据,民水,民电,有,自采暖,暂无数据,需提前预约,季付,42000,42000,0.0,42000,https://bj.zu.ke.com/zufang/BJ1946410860075286528.html
滨河馨居,整租,2室1厅1卫,71.24㎡,南 北,7天前,随时入住,中楼层/11层,无,暂无数据,暂无数据,暂无数据,有,集中供暖,1年以内,需提前预约,年付,2000,2000,0.0,2000,https://bj.zu.ke.com/zufang/BJ1946414442778460160.html
真武庙六里,整租,2室1厅1卫,55.70㎡,西南,8天前,随时入住,低楼层/19层,有,暂无数据,民水,民电,有,集中供暖,3年以上,需提前预约,季付,6400,6400,0.0,6400,https://bj.zu.ke.com/zufang/BJ1946407956169883648.html
顶秀美泉小镇C区,整租,3室2厅2卫,140.57㎡,南 北,7天前,随时入住,低楼层/4层,无,暂无数据,民水,民电,有,集中供暖,暂无数据,需提前预约,季付,2500,2500,0.0,2500,https://bj.zu.ke.com/zufang/BJ1946410787597713408.html
白家庄北里,整租,2室1厅1卫,56.65㎡,东北,今天,随时入住,12/12层,有,暂无数据,民水,民电,有,集中供暖,1~3年,随时可看,月付,7234,7234,,0,https://bj.zu.ke.com/zufang/BJ1791448782907375616.html
长阳国际城二区,整租,2室1厅1卫,81.10㎡,南,2天前,随时入住,低楼层/20层,有,暂无数据,民水,民电,有,自采暖,1年以内,需提前预约,季付,3600,3600,0.0,3600,https://bj.zu.ke.com/zufang/BJ1946416871943176192.html
时尚家园,整租,2室1厅2卫,133.43㎡,南,1天前,随时入住,中楼层/8层,有,暂无数据,民水,民电,有,自采暖,暂无数据,需提前预约,需咨询,4900,4900,0.0,4900,https://bj.zu.ke.com/zufang/BJ1946416502009757696.html
北大街,整租,1室1厅1卫,46.80㎡,南,2天前,随时入住,高楼层/6层,无,暂无数据,民水,民电,有,集中供暖,1年以内,需提前预约,季付,3900,3900,0.0,3900,https://bj.zu.ke.com/zufang/BJ1946189321711124480.html
龙翔路小区,整租,1室1厅1卫,44.50㎡,南,今天,随时入住,14/18层,有,暂无数据,民水,民电,有,集中供暖,1年,随时可看,月付,7728,7728,,0,https://bj.zu.ke.com/zufang/BJ1791651519049760768.html
广顺园,整租,2室1厅1卫,92.91㎡,东北,13天前,随时入住,中楼层/22层,有,暂无数据,民水,民电,有,集中供暖,暂无数据,需提前预约,季付,7800,7800,0.0,7800,https://bj.zu.ke.com/zufang/BJ1915321025092911104.html
华源冠军城,整租,2室1厅1卫,79.36㎡,东,今天,随时入住,6/21层,有,租用车位,民水,民电,有,集中供暖,1~3年,随时可看,月付,9229,9229,,0,https://bj.zu.ke.com/zufang/BJ1830595710643339264.html
河畔丽景,合租,3居室,15.80㎡,南,今天,随时入住,3/28层,有,租用车位,民水,民电,有,集中供暖,1~2年,随时可看,月付,2866,2866,,0,https://bj.zu.ke.com/zufang/BJ1830523654409027584.html
东土城路13号院,整租,3室1厅1卫,81.38㎡,南 北,1天前,随时入住,中楼层/5层,无,暂无数据,民水,民电,有,集中供暖,暂无数据,需提前预约,季付,11500,11500,0.0,11500,https://bj.zu.ke.com/zufang/BJ1915342030884569088.html
朝庭,整租,4室2厅3卫,220.50㎡,西南,1天前,随时入住,低楼层/27层,有,暂无数据,民水,民电,有,自采暖,3年以内,需提前预约,半年付,22800,22800,0.0,22800,https://bj.zu.ke.com/zufang/BJ1915342575414280192.html
新融苑,整租,2室2厅2卫,113.60㎡,东 西,10天前,随时入住,中楼层/13层,有,租用车位,民水,民电,有,集中供暖,暂无数据,需提前预约,季付,19000,19000,0.0,19000,https://bj.zu.ke.com/zufang/BJ1915374173572562944.html
翡翠城五期,整租,3室2厅2卫,121.33㎡,南 北,9天前,随时入住,高楼层/9层,有,暂无数据,民水,民电,有,自采暖,暂无数据,需提前预约,季付,7350,7350,0.0,7350,https://bj.zu.ke.com/zufang/BJ1915356301433503744.html
金地国际花园,整租,3室1厅2卫,180.00㎡,南 北,10天前,随时入住,高楼层/33层,有,暂无数据,民水,民电,有,集中供暖,暂无数据,需提前预约,季付,32000,32000,0.0,32000,https://bj.zu.ke.com/zufang/BJ1915382176258457600.html
龙湾别墅,整租,4室2厅3卫,290.00㎡,东南,10天前,随时入住,低楼层/5层,无,免费使用,民水,民电,有,自采暖,3年以内,需提前预约,季付,21000,21000,0.0,21000,https://bj.zu.ke.com/zufang/BJ1915326812603285504.html
首开龙湖天琅,整租,4室2厅3卫,127.00㎡,南 北,9天前,随时入住,中楼层/6层,有,暂无数据,民水,民电,有,集中供暖,暂无数据,需提前预约,季付,12500,12500,0.0,12500,https://bj.zu.ke.com/zufang/BJ1915615470048772096.html
天恒乐活城,整租,2室2厅1卫,89.14㎡,西南,3天前,随时入住,低楼层/20层,有,暂无数据,民水,民电,有,自采暖,1年以内,需提前预约,季付,3200,3200,0.0,3200,https://bj.zu.ke.com/zufang/BJ1915623173261361152.html
金融世家,整租,3室2厅2卫,182.00㎡,东 西,11天前,随时入住,中楼层/15层,有,租用车位,民水,民电,有,集中供暖,3年以内,需提前预约,季付,50000,50000,0.0,50000,https://bj.zu.ke.com/zufang/BJ1915605161263235072.html
上北鑫座,整租,1房间1卫,70.00㎡,南,12天前,随时入住,低楼层/7层,有,暂无数据,商水,商电,无,集中供暖,暂无数据,需提前预约,季付,6000,6000,0.0,6000,https://bj.zu.ke.com/zufang/BJ1915623427339714560.html
润泽御府,整租,6室3厅8卫,785.72㎡,南 北,7天前,随时入住,低楼层/2层,有,暂无数据,民水,民电,有,自采暖,暂无数据,需提前预约,季付,150000,150000,0.0,150000,https://bj.zu.ke.com/zufang/BJ1915627670834511872.html
褐石,整租,2室1厅1卫,108.00㎡,南 北,1天前,随时入住,高楼层/6层,有,暂无数据,民水,民电,有,集中供暖,暂无数据,一般下班后可看,季付,21000,21000,0.0,21000,https://bj.zu.ke.com/zufang/BJ1915628817590779904.html
小关北里,整租,1室1厅1卫,47.27㎡,东 西,10天前,随时入住,低楼层/6层,无,租用车位,民水,民电,有,集中供暖,2年以内,需提前预约,季付,5800,5800,0.0,5800,https://bj.zu.ke.com/zufang/BJ1915389636646010880.html
裕龙六区,整租,3室2厅2卫,125.00㎡,南 北,1天前,随时入住,高楼层/6层,无,暂无数据,民水,民电,有,集中供暖,1年以内,需提前预约,季付,3100,3100,0.0,3100,https://bj.zu.ke.com/zufang/BJ1915622834411929600.html
百万庄7号院,整租,2室1厅1卫,59.00㎡,南 北,4天前,随时入住,低楼层/3层,无,暂无数据,民水,民电,有,集中供暖,3年以上,需提前预约,季付,9500,9500,0.0,9500,https://bj.zu.ke.com/zufang/BJ1915623293965041664.html
建华北里小区,整租,2室1厅1卫,89.60㎡,南 北,18天前,随时入住,中楼层/6层,无,暂无数据,民水,民电,有,集中供暖,暂无数据,需提前预约,季付,2800,2800,0.0,2800,https://bj.zu.ke.com/zufang/BJ1915388699038711808.html
程庄路3号院,整租,2室1厅1卫,63.33㎡,南 北,7天前,随时入住,高楼层/6层,无,暂无数据,民水,民电,有,集中供暖,1年以内,需提前预约,季付,4300,4300,0.0,4300,https://bj.zu.ke.com/zufang/BJ1915699559468630016.html
珠江国际城八区,整租,2室1厅2卫,121.72㎡,南 北,13天前,随时入住,低楼层/9层,有,免费使用,民水,民电,有,自采暖,3年以内,需提前预约,季付,4300,4300,0.0,4300,https://bj.zu.ke.com/zufang/BJ1915687321911427072.html
京贸家园,整租,2室1厅1卫,75.00㎡,南 北,7天前,随时入住,中楼层/18层,有,暂无数据,民水,民电,有,集中供暖,暂无数据,需提前预约,季付,3400,3400,0.0,3400,https://bj.zu.ke.com/zufang/BJ1915693081894584320.html
熙兆大厦,整租,5房间1卫,46.54㎡,西,2天前,随时入住,中楼层/11层,有,暂无数据,暂无数据,商电,无,集中供暖,暂无数据,需提前预约,季付,4000,4000,0.0,4000,https://bj.zu.ke.com/zufang/BJ1915685152550289408.html
北街家园二区,整租,4室2厅3卫,252.00㎡,南 北,10天前,随时入住,低楼层/4层,无,免费使用,民水,民电,有,自采暖,1年以内,需提前预约,年付,16000,16000,0.0,16000,https://bj.zu.ke.com/zufang/BJ1915671271622836224.html
润泽悦溪,整租,3室1厅1卫,87.79㎡,南 北,1天前,随时入住,中楼层/10层,有,暂无数据,民水,民电,有,自采暖,暂无数据,需提前预约,季付,7000,7000,0.0,7000,https://bj.zu.ke.com/zufang/BJ1915690335539822592.html
北花园小区6号院,合租,3居室,16.00㎡,北,3天前,随时入住,6/28层,有,暂无数据,暂无数据,暂无数据,有,暂无数据,4个月,随时可看,月付,1818,1800,,0,https://bj.zu.ke.com/zufang/BJ1832014477101367296.html
三义庙北,合租,4居室,15.00㎡,南,7天前,随时入住,6/6层,无,暂无数据,民水,民电,有,暂无数据,2个月,需提前预约,季付,2500,2500,,0,https://bj.zu.ke.com/zufang/BJ1832279469386104832.html
珠江帝景伯爵山,整租,2室2厅1卫,92.00㎡,东南,6天前,随时入住,低楼层/15层,有,暂无数据,民水,民电,有,集中供暖,暂无数据,需提前预约,季付,9500,9500,0.0,9500,https://bj.zu.ke.com/zufang/BJ1910643713936195584.html
新城国誉府,整租,3室1厅2卫,303.00㎡,南 北,6天前,随时入住,低楼层/6层,无,暂无数据,暂无数据,暂无数据,有,集中供暖,暂无数据,需提前预约,季付,4000,4000,0.0,4000,https://bj.zu.ke.com/zufang/BJ1910655322754646016.html
万德嘉园二区,整租,2室2厅1卫,82.08㎡,南,6天前,2024-12-23,2/10层,有,暂无数据,暂无数据,暂无数据,有,暂无数据,6~36个月,随时可看,季付,7200,7200,,0,https://bj.zu.ke.com/zufang/BJ1832021082597490688.html
太阳园,整租,2室1厅1卫,101.00㎡,东南,今天,随时入住,高楼层/26层,有,暂无数据,民水,民电,有,集中供暖,暂无数据,需提前预约,季付,12500,12500,0.0,12500,https://bj.zu.ke.com/zufang/BJ1910649844960067584.html
首城国际A区,整租,1室0厅1卫,47.00㎡,西,3天前,随时入住,低楼层/22层,有,暂无数据,民水,民电,有,集中供暖,1年以内,需提前预约,季付,6000,6000,0.0,6000,https://bj.zu.ke.com/zufang/BJ1910599718182846464.html
